"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"3070","George P. Miller","George Paul Miller","1891-01-15"," 1982-12-29",NA,"George P. MillerChairman of the House Committee on Space and AeronauticsIn officeJanuary 3, 1961<U+00A0><U+0096> January 3, 1973Member of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1973Preceded byAlbert E. CarterSucceeded byPete StarkConstituency6th district (1945<U+0096>53)8th district (1953<U+0096>73)Member of the California State AssemblyIn office1937-1941",1,"BornGeorge Paul Miller(1891-01-15)January 15, 1891San Francisco, CaliforniaDiedDecember 29, 1982(1982-12-29) (aged<U+00A0>91)Alameda, CaliforniaPolitical partyDemocratic PartyMilitary serviceAllegiance<U+00A0>United States of AmericaBranch/service346th Field ArtilleryYears<U+00A0>of service1917-1919RankLieutenant"
"3071","Ned R. Healy","Ned R. Healy","1905-08-09"," 1977-09-10",NA,"Ned R. HealyMember of the U.S. House of Representativesfrom California's 13th districtIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1947Preceded byC. Norris PoulsonSucceeded byC. Norris PoulsonMember of the Los Angeles City Councilfrom the 13th districtIn officeJuly 1, 1943<U+00A0><U+0096> January 1, 1945Preceded byRoy HamptonSucceeded byMeade McClanahan",0,"Born(1905-08-09)August 9, 1905Milwaukee, WisconsinDiedSeptember 10, 1977(1977-09-10) (aged<U+00A0>72)Long Beach, CaliforniaPolitical partyDemocraticSpouse(s)Helen NelsonChildrenJeannine, Peter, NelsonResidenceLos Angeles, CaliforniaAlma materUniversity of Wisconsin<U+0096>MadisonMarquette UniversityProfessiondealer in auto parts and accessories"
"3072","Helen Gahagan Douglas","Helen Gahagan Douglas","1900-11-25"," 1980-06-28",NA,"Helen Gahagan DouglasMember of the U.S. House of Representativesfrom California's 14th districtIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1951Preceded byThomas FordSucceeded bySam Yorty",0,"BornHelen Mary Gahagan(1900-11-25)November 25, 1900Boonton, New Jersey, U.S.DiedJune 28, 1980(1980-06-28) (aged<U+00A0>79)New York City, U.S.Political partyDemocraticSpouse(s)Melvyn Douglas (m.<U+00A0>1931)Children2EducationColumbia UniversityProfessionActress"
"3073","Ellis E. Patterson","Ellis E. Patterson","1897-11-28"," 1985-08-25",NA,"Ellis E. PattersonPatterson in 193833rd Lieutenant Governor of CaliforniaIn officeJanuary 2, 1939<U+00A0><U+0096> January 4, 1943GovernorCulbert OlsonPreceded byGeorge J. HatfieldSucceeded byFrederick F. HouserMember of the U.S. House of Representativesfrom California's 16th districtIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1947Preceded byWill Rogers, Jr.Succeeded byDonald L. JacksonMember of the California State AssemblyIn office1932<U+0096>1938",0,"Born(1897-11-28)November 28, 1897Yuba City, CaliforniaDiedAugust 25, 1985(1985-08-25) (aged<U+00A0>87)Los Angeles, CaliforniaPolitical partyDemocraticChildren3Alma materUniversity of California, BerkeleyStanford UniversityUniversity of CaliforniaProfessionAttorney, Politician"
"3074","Clyde Doyle","Clyde Doyle","1887-07-11"," 1963-03-14",NA,"Clyde Gilman DoyleMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1945<U+00A0><U+0096> January 3, 1947Preceded byWilliam Ward JohnsonSucceeded byWillis W. BradleyConstituency18th districtIn officeJanuary 3, 1949<U+00A0><U+0096> March 14, 1963Preceded byWillis W. Bradley (18th)Clinton D. McKinnon (23rd)Succeeded byCraig Hosmer (18th)Del M. Clawson (23rd)Constituency18th district (1949<U+0096>53)23rd district (1953<U+0096>63)",0,"Born(1887-07-11)July 11, 1887Oakland, CaliforniaDiedMarch 14, 1963(1963-03-14) (aged<U+00A0>75)Arlington, VirginiaPolitical partyDemocratic"
"3075","John J. Allen Jr.","John J. Allen, Jr.","1995-03-07",NA,NA,"John J. Allen Jr.Member of the U.S. House of Representatives from California's 7th DistrictPreceded byJohn H. TolanSucceeded byJeffery CohelanConstituencyCalifornia's 7th congressional districtIn officeJanuary 3, 1947 <U+0096> January 3, 1959U.S. Under Secretary of Commerce for TransportationIn officeJanuary 5th, 1959 <U+0096> January 20th, 1961Member and President of the Oakland Board of EducationIn office1923<U+0096>1943Mayor of McCall IdahoIn office1988<U+0096>1995",1,"BornNovember 27, 1899Oakland, CaliforniaDiedMarch 7, 1995(1995-03-07) (aged<U+00A0>95)McCall, IdahoPolitical partyRepublicanAlma materUniversity of California, BerkleyOccupationAttorney, politicianMilitary serviceAllegiance 
Branch/service
Years of Service
Rank

Battles/warsUnited States
United States Navy                                                                       
1942<U+0096>1945
Lieutenant Commander

World War II"
"3076","Ernest K. Bramblett","Ernest K. Bramblett","1966-12-27",NA,NA,"Ernest K. BramblettMember of the U.S. House of Representativesfrom California's 13th districtIn officeJanuary 3, 1953 <U+0096> January 3, 1955Preceded byNorris PoulsonSucceeded byCharles M. TeagueMember of the U.S. House of Representativesfrom California's 11th districtIn officeJanuary 3, 1947 - January 3, 1953Preceded byGeorge E. OutlandSucceeded byJustin L. Johnson",0,"BornApril 25, 1901Fresno, CaliforniaDiedDecember 27, 1966(1966-12-27) (aged<U+00A0>65)Woodland Hills, CaliforniaPolitical partyRepublicanProfessionPolitician"
"3077","Richard Nixon","Richard Nixon","1913-01-09"," 1994-04-22",NA,"Richard Nixon37th President of the United StatesIn officeJanuary 20, 1969<U+00A0><U+0096> August 9, 1974Vice PresidentSpiro Agnew (1969<U+0096>1973)None (Oct<U+0096>Dec 1973)Gerald Ford (1973<U+0096>1974)Preceded byLyndon B. JohnsonSucceeded byGerald Ford36th Vice President of the United StatesIn officeJanuary 20, 1953<U+00A0><U+0096> January 20, 1961PresidentDwight D. EisenhowerPreceded byAlben W. BarkleySucceeded byLyndon B. JohnsonUnited States Senatorfrom CaliforniaIn officeDecember 1, 1950<U+00A0><U+0096> January 1, 1953Preceded bySheridan DowneySucceeded byThomas KuchelMember of the U.S. House of Representativesfrom California's 12th districtIn officeJanuary 3, 1947<U+00A0><U+0096> November 30, 1950Preceded byJerry VoorhisSucceeded byPatrick J. Hillings",1,"BornRichard Milhous Nixon(1913-01-09)January 9, 1913Yorba Linda, California, U.S.DiedApril 22, 1994(1994-04-22) (aged<U+00A0>81)New York City, U.S.Resting placeRichard Nixon Presidential Library and MuseumPolitical partyRepublicanSpouse(s)Pat Ryan(m.<U+00A0>1940; died<U+00A0>1993)ChildrenTriciaJulieMotherHannah MilhousFatherFrancis A. NixonEducationWhittier College (BA)Duke University School of Law (JD)SignatureMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States NavyYears<U+00A0>of service1942<U+0096>1946 (active)1946<U+0096>1966 (inactive)Rank CommanderBattles/warsWorld War II<U+00A0><U+0095> South Pacific Theater[1]Awards Navy and Marine Corps Commendation Medal (2)"
"3078","Willis W. Bradley","Willis W. Bradley",NA,NA,NA,"Willis W. BradleyCommander Willis W. Bradley, photographed during the 1920s, wearing the Medal of HonorBirth nameWillis Winter Bradley Jr.Born(1884-06-28)June 28, 1884Ransomville, New YorkDiedAugust 27, 1954(1954-08-27) (aged<U+00A0>70)Santa Barbara, CaliforniaPlace of burialFort Rosecrans National Cemetery,San Diego, CaliforniaAllegianceUnited States of AmericaService/branchUnited States NavyYears<U+00A0>of service1906<U+0096>1946RankCaptainUnitUSS<U+00A0>PittsburghBattles/warsWorld War IWorld War IIAwardsMedal of HonorRelationsBruce McCandless (son-in-law)Other<U+00A0>workpolitician",NA,NA
"3079","Charles K. Fletcher","Charles K. Fletcher","1902-12-15"," 1985-09-29",NA,"Charles K. FletcherMember of the U.S. House of Representativesfrom California's 23rd districtIn officeJanuary 3, 1947<U+00A0><U+0096> January 3, 1949Preceded byEdouard IzacSucceeded byClinton D. McKinnon",0,"Born(1902-12-15)December 15, 1902San Diego, CaliforniaDiedSeptember 29, 1985(1985-09-29) (aged<U+00A0>82)San Diego, CaliforniaPolitical partyRepublican"
"3080","Cecil F. White","Cecil F. White","1900-12-12"," 1992-03-29",NA,"Cecil F. WhiteMember of the U.S. House of Representativesfrom California's 9th districtIn officeJanuary 3, 1949 <U+0096> January 3, 1951Preceded byBertrand W. GearhartSucceeded byAllan O. Hunter",0,"Born(1900-12-12)December 12, 1900Temple, TexasDiedMarch 29, 1992(1992-03-29) (aged<U+00A0>91)San Francisco, CaliforniaPolitical partyDemocratic"
"3081","Thomas H. Werdel","Thomas H. Werdel","1905-09-13"," 1966-09-30",NA,"Thomas WerdelMember of the U.S. House of Representativesfrom California's 10th districtIn officeJanuary 3, 1949<U+00A0><U+0096> January 3, 1953Preceded byAlfred J. ElliottSucceeded byCharles GubserMember of the California State Assemblyfrom the 39th districtIn officeJanuary 3, 1943<U+00A0><U+0096> January 3, 1947Preceded byRodney L. Turner[1]Succeeded byW. E. James[2]",0,"BornThomas Harold Werdel(1905-09-13)September 13, 1905Emery, South Dakota, U.S.DiedSeptember 30, 1966(1966-09-30) (aged<U+00A0>61)Bakersfield, California, U.S.Political partyRepublicanSpouse(s)Rosemary CutterChildren3Alma materUniversity of California at BerkeleyUC Berkeley School of Law"
"3082","Clinton D. McKinnon","Clinton D. McKinnon","1906-02-05"," 2001-12-29",NA,"Clinton Dotson McKinnonMember of the U.S. House of Representativesfrom California's 23rd districtIn officeJanuary 3, 1949<U+00A0><U+0096> January 3, 1953Preceded byCharles K. FletcherSucceeded byClyde Doyle",0,"Born(1906-02-05)February 5, 1906Dallas, TexasDiedDecember 29, 2001(2001-12-29) (aged<U+00A0>95)La Jolla, CaliforniaPolitical partyDemocraticAlma materUniversity of Redlands (B.A. 1930)ProfessionJournalistNewspaper editorPublisherBank president"
"3083","John F. Shelley","John F. Shelley","1905-09-03"," 1974-09-01",NA,"John F. Shelley35th Mayor of San FranciscoIn officeJanuary 8, 1964<U+00A0><U+0096> January 8, 1968Preceded byGeorge ChristopherSucceeded byJoseph AliotoMember of the U.S. House of Representativesfrom California's 5th districtIn officeNovember 8, 1949<U+00A0><U+0096> January 7, 1964Preceded byRichard J. WelchSucceeded byPhillip Burton",0,"BornJohn Francis Shelley(1905-09-03)September 3, 1905San Francisco, California, U.S.DiedSeptember 1, 1974(1974-09-01) (aged<U+00A0>68)San Francisco, California, U.S.Political partyDemocratic"
"3084","Allan O. Hunter","Allan O. Hunter","1916-06-15"," 1995-05-02",NA,"Allan O. HunterMember of the U.S. House of Representativesfrom California's 12th districtIn officeJanuary 3, 1953 <U+0096> January 3, 1955Preceded byPatrick J. HillingsSucceeded byBernice F. SiskMember of the U.S. House of Representativesfrom California's 9th districtIn officeJanuary 3, 1951 <U+0096> January 3, 1953Preceded byCecil F. WhiteSucceeded byJ. Arthur Younger",0,"Born(1916-06-15)June 15, 1916Los Angeles, CaliforniaDiedMay 2, 1995(1995-05-02) (aged<U+00A0>78)Bethesda, MarylandPolitical partyRepublicanSpouse(s)Dixie Lee Hunter[1]"
"3085","Patrick J. Hillings","Patrick J. Hillings","1923-02-19"," 1994-07-20",NA,"Patrick Jerome HillingsMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1951<U+00A0><U+0096> January 3, 1959Preceded byRichard Nixon (12th)Succeeded byAllan O. Hunter (12th)George A. Kasem (25th)Constituency12th district (1951<U+0096>53)25th district (1953<U+0096>59)",0,"Born(1923-02-19)February 19, 1923Hobart Mills, CaliforniaDiedJuly 20, 1994(1994-07-20) (aged<U+00A0>71)Palm Desert, CaliforniaPolitical partyRepublicanAlma materUniversity of Southern California (B.A. 1947)University of Southern California Law School (J.D. 1949)"
"3086","Sam Yorty","Sam Yorty","1998-06-05",NA,NA,"Sam Yorty37th Mayor of Los AngelesIn officeJuly 1, 1961<U+00A0><U+0096> July 1, 1973Preceded byC. Norris PoulsonSucceeded byTom BradleyMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1951<U+00A0><U+0096> January 3, 1955Preceded byHelen Gahagan Douglas (14th)Succeeded byHarlan Hagen (14th)James Roosevelt (26th)Constituency14th district (1951<U+0096>53)26th district (1953<U+0096>55)",1,"BornSamuel William YortyOctober 1, 1909Lincoln, Nebraska, U.S.DiedJune 5, 1998(1998-06-05) (aged<U+00A0>88)Los Angeles, California, U.S.Resting placeAshes scattered in  the Pacific OceanPolitical partyDemocratic (until 1980), Republican (from 1980)ProfessionPoliticianMilitary serviceAllegiance<U+00A0>United StatesBranch/serviceUnited States Army Air CorpsRank CaptainUnitIntelligence CorpsBattles/warsWorld War II Pacific Theater"
"3087","John E. Moss","John E. Moss","1915-04-13"," 1997-12-05",NA,"John E. MossMember of the U.S. House of Representativesfrom California's 3rd districtIn officeJanuary 3, 1953<U+00A0><U+0096> December 31, 1978Preceded byJustin L. JohnsonSucceeded byBob Matsui",0,"Born(1915-04-13)April 13, 1915Hiawatha, UtahDiedDecember 5, 1997(1997-12-05) (aged<U+00A0>82)San FranciscoPolitical partyDemocratic"
"3088","William S. Mailliard","William S. Mailliard","1917-06-10"," 1992-06-10",NA,"William S. Mailliard8th United States Ambassador to the Organization of American StatesIn officeMarch 7, 1974<U+00A0><U+0096> February 1, 1977PresidentRichard NixonGerald FordPreceded byJoseph J. JovaSucceeded byGale W. McGeeMember of the U.S. House of Representativesfrom California's 6th districtIn officeJanuary 3, 1963<U+00A0><U+0096> March 5, 1974Preceded byJohn F. Baldwin Jr.Succeeded byJohn L. BurtonMember of the U.S. House of Representativesfrom California's 4th districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1963Preceded byFranck R. HavennerSucceeded byRobert L. Leggett",0,"BornWilliam Somers Mailliard(1917-06-10)June 10, 1917Belvedere, California, U.S.DiedJune 10, 1992(1992-06-10) (aged<U+00A0>75)San Francisco, California, U.S.Political partyRepublicanSpouse(s)Elizabeth WhinnyMillicent FoxAlma materYale UniversityNaval War CollegeOccupationbanker"
"3089","Robert Condon","Robert Condon","1912-11-10"," 1976-06-03",NA,"Robert CondonMember of the U.S. House of Representativesfrom California's 6th districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1955Preceded byGeorge Paul MillerSucceeded byJohn F. Baldwin, Jr.Member of the California State AssemblyIn office1948<U+0096>1952",0,"Born(1912-11-10)November 10, 1912Berkeley, California, U.S.DiedJune 3, 1976(1976-06-03) (aged<U+00A0>63)Walnut Creek, California, U.S.Political partyDemocratic PartyAlma materUniversity of California at Berkeley UC Berkeley School of Law"
"3090","J. Arthur Younger","J. Arthur Younger","1893-04-11"," 1967-06-20",NA,"J. Arthur YoungerMember of the U.S. House of Representativesfrom California's 11th districtIn officeJanuary 3, 1963<U+00A0><U+0096> June 20, 1967Preceded byJohn J. McFallSucceeded byPete McCloskeyMember of the U.S. House of Representativesfrom California's 9th districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1963Preceded byAllan O. HunterSucceeded byDon Edwards",1,"BornJesse Arthur Younger(1893-04-11)April 11, 1893Albany, OregonDiedJune 20, 1967(1967-06-20) (aged<U+00A0>74)Washington, D.C.Political partyRepublicanResidenceSan Mateo, CaliforniaAlma materUniversity of WashingtonOccupationBankerMilitary serviceBranch/serviceWashington National GuardYears<U+00A0>of serviceAugust 1917-June 1919"
"3091","Charles Gubser","Charles S. Gubser","1916-02-01"," 2011-08-20",NA,"Charles GubserMember of the U.S. House of Representativesfrom California's 10th districtIn officeJanuary 3, 1953<U+00A0><U+0096> December 31, 1974Preceded byThomas H. WerdelSucceeded byDon EdwardsMember of the California State Assemblyfrom the 29th districtIn office1951<U+0096>1952Preceded byJohn F. ThompsonSucceeded byBruce F. Allen",0,"BornCharles Samuel Gubser(1916-02-01)February 1, 1916Gilroy, CaliforniaDiedAugust 20, 2011(2011-08-20) (aged<U+00A0>95)Fresno, CaliforniaPolitical partyRepublicanAlma materUniversity of California, BerkeleyOccupationTeacher, farmer"
"3092","Harlan Hagen","Harlan Hagen","1914-10-08"," 1990-11-25",NA,"Harlan Francis HagenMember of the U.S. House of Representativesfrom California's 14th districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1963Preceded bySamuel W. YortySucceeded byJohn F. Baldwin, Jr.Member of the U.S. House of Representativesfrom California's 18th districtIn officeJanuary 3, 1963<U+00A0><U+0096> January 3, 1967Preceded byCraig HosmerSucceeded byRobert B. Mathias",1,"Born(1914-10-08)October 8, 1914Lawton, North DakotaDiedNovember 25, 1990(1990-11-25) (aged<U+00A0>76)Hanford, CaliforniaPolitical partyDemocratic PartySpouse(s)Martha RitzAlma materUniversity of California at BerkeleyMilitary serviceAllegiance<U+00A0>United States of AmericaBranch/service<U+00A0>United States ArmyYears<U+00A0>of service1943-1946Battles/wars
World War II"
"3093","Craig Hosmer","Craig Hosmer","1915-05-06"," 1982-10-11",NA,"Craig HosmerMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1953<U+00A0><U+0096> December 31, 1974Preceded byClyde Doyle (18th)Succeeded byHarlan Hagen (18th)Glenn M. Anderson (32nd)Constituency18th district (1953<U+0096>63)32nd district (1963<U+0096>74)",1,"BornChester Craig Hosmer(1915-05-06)May 6, 1915Brea, CaliforniaDiedOctober 11, 1982(1982-10-11) (aged<U+00A0>67)Political partyRepublicanMilitary serviceAllegiance<U+00A0>United States of AmericaBranch/service<U+00A0>United States NavyBattles/wars
World War II"
"3094","Edgar W. Hiestand","Edgar W. Hiestand","1888-12-03"," 1970-08-19",NA,"Edgar W. HiestandMember of the U.S. House of Representativesfrom California's 21st districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1963Preceded byHarry R. SheppardSucceeded byAugustus F. Hawkins",0,"Born(1888-12-03)December 3, 1888Chicago, Illinois, United StatesDiedAugust 19, 1970(1970-08-19) (aged<U+00A0>81)Pasadena, California, United StatesResting placeSan Gabriel Cemetery, CaliforniaPolitical partyRepublican PartyAlma materDartmouth CollegeOccupationBusinessman and politician"
